pH,moisture,humidity,temperature,crop
6.03,0.64,0.41,0.16,gladiola
6.16,0.67,0.35,0.17,gladiola
6.04,0.78,0.39,0.13,gladiola
6.43,0.71,0.3,0.13,gladiola
6.25,0.71,0.44,0.14,gladiola
6.1,0.65,0.37,0.19,gladiola
6.46,0.61,0.38,0.17,gladiola
6.25,0.63,0.42,0.15,gladiola
6.72,0.75,0.45,0.19,gladiola
6.1,0.7,0.42,0.12,gladiola
6.27,0.77,0.44,0.17,gladiola
6.66,0.72,0.4,0.16,gladiola
6.97,0.73,0.42,0.16,gladiola
6.0,0.62,0.44,0.19,gladiola
6.94,0.79,0.38,0.16,gladiola
6.73,0.65,0.44,0.17,gladiola
6.56,0.69,0.45,0.16,gladiola
6.46,0.62,0.31,0.2,gladiola
6.28,0.63,0.37,0.19,gladiola
6.91,0.77,0.42,0.14,gladiola
6.28,0.73,0.35,0.18,gladiola
6.06,0.67,0.36,0.17,gladiola
6.57,0.77,0.34,0.14,gladiola
6.33,0.69,0.32,0.17,gladiola
6.08,0.78,0.44,0.15,gladiola
6.85,0.8,0.31,0.13,gladiola
6.52,0.72,0.33,0.14,gladiola
6.53,0.75,0.3,0.2,gladiola
6.91,0.67,0.31,0.2,gladiola
6.91,0.66,0.33,0.15,gladiola
6.18,0.79,0.44,0.16,gladiola
6.55,0.62,0.37,0.16,gladiola
6.85,0.65,0.38,0.12,gladiola
6.21,0.74,0.35,0.16,gladiola
6.14,0.79,0.32,0.17,gladiola
6.41,0.7,0.32,0.16,gladiola
6.77,0.64,0.4,0.13,gladiola
6.27,0.69,0.44,0.13,gladiola
6.8,0.66,0.41,0.19,gladiola
6.41,0.6,0.37,0.15,gladiola
6.2,0.78,0.36,0.13,gladiola
6.91,0.74,0.38,0.19,gladiola
6.25,0.71,0.42,0.13,gladiola
6.54,0.67,0.38,0.15,gladiola
6.64,0.71,0.37,0.18,gladiola
6.55,0.66,0.32,0.14,gladiola
6.18,0.74,0.39,0.2,gladiola
6.98,0.62,0.4,0.17,gladiola
6.22,0.6,0.42,0.12,gladiola
6.55,0.75,0.38,0.12,gladiola
6.82,0.75,0.37,0.18,gladiola
6.89,0.79,0.36,0.16,gladiola
6.75,0.8,0.38,0.15,gladiola
6.45,0.66,0.4,0.16,gladiola
6.49,0.6,0.39,0.13,gladiola
6.28,0.68,0.36,0.2,gladiola
6.61,0.78,0.33,0.16,gladiola
6.21,0.75,0.39,0.16,gladiola
6.96,0.62,0.31,0.12,gladiola
6.52,0.66,0.44,0.16,gladiola
6.4,0.73,0.43,0.13,gladiola
6.5,0.69,0.45,0.13,gladiola
6.7,0.77,0.36,0.17,gladiola
6.07,0.62,0.32,0.16,gladiola
6.62,0.66,0.31,0.19,gladiola
6.3,0.79,0.35,0.16,gladiola
6.73,0.78,0.31,0.13,gladiola
6.35,0.74,0.35,0.12,gladiola
6.77,0.71,0.42,0.13,gladiola
6.05,0.69,0.35,0.19,gladiola
6.22,0.72,0.39,0.2,gladiola
6.01,0.74,0.31,0.18,gladiola
6.0,0.74,0.3,0.12,gladiola
6.46,0.77,0.3,0.15,gladiola
6.2,0.62,0.39,0.15,gladiola
6.39,0.68,0.36,0.18,gladiola
6.19,0.66,0.41,0.12,gladiola
6.4,0.61,0.36,0.19,gladiola
6.13,0.75,0.43,0.2,gladiola
6.41,0.68,0.42,0.2,gladiola
6.41,0.65,0.31,0.19,gladiola
6.18,0.63,0.35,0.14,gladiola
6.33,0.63,0.32,0.18,gladiola
6.79,0.79,0.45,0.14,gladiola
6.4,0.76,0.45,0.13,gladiola
6.88,0.68,0.37,0.12,gladiola
6.05,0.61,0.42,0.12,gladiola
6.06,0.78,0.35,0.12,gladiola
6.11,0.79,0.33,0.13,gladiola
6.73,0.65,0.41,0.17,gladiola
6.28,0.75,0.34,0.18,gladiola
6.48,0.74,0.31,0.17,gladiola
6.9,0.62,0.38,0.16,gladiola
6.13,0.63,0.39,0.2,gladiola
6.26,0.7,0.34,0.18,gladiola
6.3,0.65,0.35,0.2,gladiola
6.94,0.72,0.33,0.18,gladiola
6.28,0.79,0.34,0.16,gladiola
6.14,0.6,0.32,0.14,gladiola
6.56,0.79,0.42,0.2,gladiola
6.54,0.66,0.38,0.13,gladiola
6.25,0.7,0.4,0.16,gladiola
6.31,0.69,0.34,0.14,gladiola
6.67,0.69,0.3,0.12,gladiola
6.8,0.63,0.3,0.2,gladiola
6.48,0.63,0.39,0.15,gladiola
6.19,0.71,0.34,0.14,gladiola
6.66,0.63,0.35,0.12,gladiola
6.45,0.71,0.4,0.17,gladiola
6.52,0.71,0.42,0.16,gladiola
6.28,0.65,0.32,0.17,gladiola
6.97,0.7,0.34,0.19,gladiola
6.97,0.71,0.31,0.16,gladiola
6.99,0.62,0.43,0.15,gladiola
6.87,0.68,0.37,0.18,gladiola
6.79,0.63,0.42,0.15,gladiola
6.12,0.66,0.43,0.13,gladiola
6.91,0.75,0.31,0.15,gladiola
7.0,0.7,0.38,0.19,gladiola
6.42,0.62,0.36,0.19,gladiola
6.83,0.65,0.37,0.15,gladiola
6.27,0.68,0.32,0.16,gladiola
6.18,0.67,0.44,0.17,gladiola
6.31,0.6,0.32,0.19,gladiola
6.62,0.78,0.32,0.14,gladiola
6.79,0.79,0.36,0.13,gladiola
6.88,0.69,0.38,0.13,gladiola
6.53,0.68,0.3,0.13,gladiola
6.0,0.68,0.4,0.17,gladiola
6.02,0.8,0.3,0.18,gladiola
6.75,0.78,0.32,0.13,gladiola
6.37,0.69,0.33,0.19,gladiola
6.77,0.79,0.45,0.13,gladiola
6.25,0.66,0.43,0.18,gladiola
6.23,0.68,0.45,0.12,gladiola
6.38,0.62,0.38,0.18,gladiola
6.52,0.63,0.35,0.18,gladiola
6.64,0.74,0.35,0.18,gladiola
6.91,0.72,0.31,0.15,gladiola
6.27,0.74,0.3,0.19,gladiola
6.68,0.62,0.43,0.14,gladiola
6.97,0.63,0.32,0.19,gladiola
6.25,0.63,0.32,0.19,gladiola
6.77,0.61,0.38,0.18,gladiola
6.58,0.64,0.34,0.16,gladiola
6.7,0.77,0.4,0.12,gladiola
6.06,0.65,0.36,0.19,gladiola
6.83,0.61,0.36,0.2,gladiola
6.9,0.72,0.39,0.16,gladiola
7.0,0.71,0.37,0.15,gladiola
6.69,0.69,0.41,0.14,gladiola
6.99,0.67,0.31,0.13,gladiola
6.82,0.74,0.31,0.14,gladiola
6.57,0.65,0.37,0.14,gladiola
6.75,0.64,0.35,0.17,gladiola
6.83,0.7,0.45,0.19,gladiola
6.76,0.78,0.34,0.14,gladiola
6.55,0.8,0.4,0.12,gladiola
6.84,0.72,0.4,0.2,gladiola
6.12,0.74,0.33,0.13,gladiola
6.91,0.61,0.34,0.19,gladiola
6.44,0.73,0.34,0.14,gladiola
6.81,0.63,0.44,0.13,gladiola
6.27,0.78,0.39,0.18,gladiola
6.36,0.62,0.43,0.18,gladiola
6.02,0.79,0.44,0.16,gladiola
6.51,0.74,0.44,0.14,gladiola
6.98,0.6,0.35,0.17,gladiola
6.86,0.76,0.31,0.12,gladiola
6.86,0.65,0.35,0.13,gladiola
6.25,0.64,0.42,0.18,gladiola
6.86,0.64,0.44,0.17,gladiola
6.61,0.74,0.34,0.17,gladiola
6.57,0.63,0.39,0.17,gladiola
6.35,0.63,0.32,0.16,gladiola
6.44,0.79,0.42,0.16,gladiola
6.4,0.69,0.38,0.18,gladiola
6.64,0.73,0.45,0.2,gladiola
6.56,0.8,0.33,0.14,gladiola
6.52,0.72,0.38,0.18,gladiola
6.91,0.7,0.31,0.12,gladiola
6.12,0.62,0.34,0.19,gladiola
6.7,0.76,0.33,0.15,gladiola
6.81,0.79,0.36,0.19,gladiola
6.33,0.79,0.31,0.19,gladiola
6.53,0.77,0.36,0.17,gladiola
6.62,0.76,0.33,0.17,gladiola
6.18,0.7,0.43,0.18,gladiola
6.43,0.76,0.4,0.17,gladiola
6.33,0.64,0.42,0.17,gladiola
6.3,0.67,0.36,0.14,gladiola
6.87,0.62,0.36,0.18,gladiola
6.95,0.62,0.42,0.2,gladiola
6.74,0.63,0.36,0.14,gladiola
6.05,0.71,0.36,0.19,gladiola
6.16,0.8,0.44,0.13,gladiola
6.56,0.63,0.36,0.15,gladiola
6.95,0.69,0.42,0.14,gladiola
6.23,0.67,0.43,0.14,gladiola
6.45,0.63,0.41,0.14,gladiola
6.78,0.67,0.32,0.13,gladiola
6.2,0.76,0.64,0.25,rose
6.61,0.81,0.66,0.14,rose
6.63,0.9,0.79,0.27,rose
6.05,0.84,0.73,0.11,rose
5.55,0.8,0.64,0.27,rose
7.27,0.89,0.69,0.12,rose
5.82,0.84,0.79,0.25,rose
6.05,0.81,0.74,0.23,rose
5.82,0.8,0.72,0.11,rose
7.34,0.84,0.76,0.15,rose
6.26,0.88,0.8,0.2,rose
5.5,0.85,0.7,0.2,rose
5.63,0.77,0.79,0.28,rose
6.32,0.9,0.75,0.16,rose
7.11,0.9,0.79,0.29,rose
5.69,0.78,0.63,0.29,rose
5.81,0.77,0.75,0.12,rose
5.75,0.83,0.65,0.15,rose
7.31,0.77,0.74,0.25,rose
7.32,0.79,0.79,0.25,rose
6.72,0.84,0.77,0.18,rose
6.69,0.79,0.61,0.16,rose
5.76,0.84,0.63,0.13,rose
6.25,0.77,0.63,0.13,rose
5.52,0.82,0.77,0.18,rose
6.32,0.79,0.65,0.1,rose
7.49,0.84,0.77,0.12,rose
6.71,0.86,0.66,0.13,rose
7.33,0.87,0.65,0.13,rose
5.63,0.85,0.67,0.18,rose
5.81,0.85,0.7,0.29,rose
5.99,0.83,0.75,0.2,rose
6.94,0.87,0.74,0.27,rose
7.45,0.86,0.61,0.15,rose
6.4,0.82,0.79,0.21,rose
5.94,0.87,0.71,0.2,rose
6.81,0.89,0.78,0.2,rose
6.72,0.8,0.62,0.2,rose
6.62,0.89,0.61,0.22,rose
7.19,0.84,0.65,0.17,rose
7.0,0.75,0.75,0.22,rose
6.6,0.9,0.67,0.18,rose
6.32,0.9,0.75,0.15,rose
6.86,0.87,0.64,0.21,rose
6.24,0.77,0.71,0.12,rose
6.64,0.87,0.78,0.11,rose
6.96,0.88,0.69,0.24,rose
7.01,0.77,0.77,0.24,rose
6.23,0.8,0.77,0.23,rose
7.31,0.86,0.75,0.26,rose
7.36,0.78,0.68,0.23,rose
5.87,0.84,0.66,0.17,rose
5.82,0.77,0.67,0.14,rose
6.04,0.75,0.63,0.29,rose
6.2,0.81,0.8,0.11,rose
6.49,0.78,0.67,0.16,rose
6.55,0.87,0.73,0.27,rose
6.07,0.85,0.66,0.23,rose
7.15,0.85,0.77,0.28,rose
7.08,0.84,0.65,0.16,rose
5.86,0.89,0.76,0.11,rose
5.95,0.83,0.77,0.2,rose
6.35,0.86,0.77,0.19,rose
6.05,0.77,0.64,0.25,rose
5.79,0.89,0.76,0.28,rose
6.89,0.83,0.7,0.2,rose
5.96,0.76,0.69,0.22,rose
6.53,0.86,0.64,0.11,rose
7.22,0.79,0.62,0.17,rose
5.62,0.85,0.7,0.14,rose
7.06,0.86,0.77,0.15,rose
6.61,0.88,0.72,0.14,rose
6.08,0.8,0.7,0.27,rose
7.22,0.87,0.65,0.28,rose
6.28,0.75,0.7,0.11,rose
5.82,0.75,0.77,0.24,rose
5.51,0.89,0.73,0.27,rose
6.79,0.85,0.8,0.11,rose
6.13,0.87,0.77,0.29,rose
7.29,0.83,0.71,0.18,rose
6.06,0.89,0.71,0.18,rose
5.93,0.88,0.61,0.2,rose
7.11,0.77,0.62,0.15,rose
7.01,0.82,0.72,0.21,rose
6.49,0.88,0.7,0.12,rose
6.99,0.77,0.75,0.29,rose
7.02,0.79,0.64,0.13,rose
6.54,0.77,0.76,0.23,rose
5.67,0.78,0.62,0.29,rose
6.03,0.79,0.66,0.24,rose
5.68,0.76,0.71,0.2,rose
6.93,0.78,0.79,0.11,rose
6.53,0.88,0.65,0.28,rose
6.35,0.85,0.65,0.18,rose
6.07,0.89,0.73,0.19,rose
6.51,0.83,0.63,0.12,rose
7.25,0.76,0.67,0.23,rose
7.48,0.75,0.69,0.11,rose
6.99,0.85,0.8,0.15,rose
6.66,0.79,0.77,0.24,rose
6.03,0.87,0.77,0.2,rose
6.27,0.76,0.8,0.14,rose
5.57,0.81,0.71,0.23,rose
5.72,0.81,0.77,0.15,rose
6.42,0.82,0.6,0.28,rose
6.4,0.86,0.63,0.14,rose
6.2,0.86,0.7,0.19,rose
6.66,0.75,0.74,0.21,rose
7.13,0.82,0.65,0.12,rose
5.56,0.88,0.67,0.15,rose
6.8,0.78,0.64,0.13,rose
5.55,0.75,0.64,0.19,rose
5.93,0.76,0.75,0.28,rose
5.7,0.84,0.8,0.23,rose
6.52,0.79,0.63,0.28,rose
5.56,0.78,0.61,0.22,rose
5.75,0.84,0.73,0.3,rose
6.34,0.82,0.79,0.25,rose
6.22,0.82,0.65,0.22,rose
6.15,0.86,0.6,0.28,rose
7.06,0.89,0.67,0.11,rose
7.3,0.89,0.74,0.21,rose
6.8,0.84,0.6,0.23,rose
7.31,0.86,0.77,0.18,rose
7.13,0.87,0.73,0.13,rose
7.13,0.76,0.65,0.23,rose
7.19,0.84,0.72,0.26,rose
7.05,0.89,0.73,0.27,rose
6.61,0.78,0.75,0.11,rose
5.84,0.88,0.67,0.26,rose
5.96,0.82,0.62,0.22,rose
6.79,0.83,0.73,0.1,rose
7.23,0.85,0.7,0.22,rose
6.93,0.8,0.79,0.27,rose
6.19,0.83,0.63,0.22,rose
5.51,0.8,0.63,0.15,rose
5.57,0.85,0.7,0.11,rose
7.03,0.8,0.61,0.16,rose
7.17,0.82,0.7,0.16,rose
6.46,0.76,0.79,0.15,rose
5.63,0.75,0.78,0.16,rose
6.29,0.78,0.61,0.23,rose
6.94,0.85,0.62,0.14,rose
5.97,0.86,0.79,0.15,rose
7.18,0.84,0.63,0.14,rose
6.46,0.82,0.73,0.21,rose
5.95,0.84,0.67,0.18,rose
6.28,0.75,0.69,0.22,rose
7.37,0.86,0.8,0.26,rose
7.37,0.85,0.7,0.11,rose
6.48,0.8,0.74,0.2,rose
6.98,0.89,0.76,0.24,rose
6.25,0.77,0.73,0.27,rose
6.32,0.77,0.79,0.1,rose
6.72,0.77,0.78,0.11,rose
7.37,0.82,0.61,0.17,rose
7.39,0.78,0.75,0.2,rose
5.98,0.76,0.65,0.14,rose
7.12,0.82,0.63,0.27,rose
6.72,0.8,0.69,0.26,rose
6.57,0.86,0.72,0.2,rose
7.07,0.88,0.8,0.13,rose
6.98,0.89,0.74,0.2,rose
6.96,0.78,0.76,0.16,rose
6.85,0.81,0.72,0.1,rose
5.67,0.86,0.75,0.28,rose
7.22,0.83,0.7,0.1,rose
6.36,0.85,0.79,0.13,rose
7.29,0.9,0.74,0.23,rose
5.74,0.79,0.69,0.27,rose
6.32,0.86,0.63,0.23,rose
6.05,0.79,0.68,0.23,rose
6.56,0.83,0.62,0.15,rose
7.19,0.89,0.7,0.26,rose
6.96,0.87,0.65,0.15,rose
5.66,0.83,0.68,0.26,rose
6.51,0.84,0.68,0.12,rose
5.51,0.83,0.7,0.27,rose
6.59,0.78,0.61,0.21,rose
5.51,0.89,0.66,0.25,rose
7.5,0.9,0.68,0.28,rose
6.6,0.79,0.63,0.19,rose
